"","OTU","Size","Phylum","Class","Order","Family","Genus"
"Otu1306","Otu1306",40,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu1309","Otu1309",39,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1310","Otu1310",39,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1312","Otu1312",39,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu1315","Otu1315",39,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu1318","Otu1318",39,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1319","Otu1319",39,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified","Bacteroidales_unclassified"
"Otu1323","Otu1323",38,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu1328","Otu1328",38,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Parvibaculum"
"Otu1332","Otu1332",37,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetales_unclassified","Actinomycetales_unclassified"
"Otu1336","Otu1336",36,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megamonas"
"Otu1337","Otu1337",36,"Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"Otu1345","Otu1345",36,"Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Bacillales_unclassified"
"Otu1356","Otu1356",35,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu1358","Otu1358",35,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu1364","Otu1364",34,"Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Capnocytophaga"
"Otu1370","Otu1370",34,"Firmicutes","Clostridia","Clostridia_unclassified","Clostridia_unclassified","Clostridia_unclassified"
"Otu1378","Otu1378",34,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1381","Otu1381",33,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonellaceae_unclassified"
"Otu1382","Otu1382",33,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu1383","Otu1383",33,"Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella"
"Otu1387","Otu1387",33,"Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Bacillales_unclassified"
"Otu1389","Otu1389",33,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu1390","Otu1390",33,"Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"Otu1395","Otu1395",33,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu1402","Otu1402",32,"Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"Otu1404","Otu1404",32,"Verrucomicrobia","Subdivision3","Subdivision3_order_incertae_sedis","Subdivision3_family_incertae_sedis","3_genus_incertae_sedis"
"Otu1405","Otu1405",32,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
