"","OTU","Size","Phylum","Class","Order","Family","Genus"
"Otu0104","Otu0104",9792,"Synergistetes","Synergistia","Synergistales","Synergistaceae","Synergistaceae_unclassified"
"Otu0105","Otu0105",9559,"Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"Otu0106","Otu0106",9429,"Actinobacteria","Actinobacteria","Actinomycetales","Brevibacteriaceae","Brevibacterium"
"Otu0107","Otu0107",9338,"Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella"
"Otu0108","Otu0108",9296,"Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Peptoniphilus"
"Otu0109","Otu0109",9225,"Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus"
"Otu0110","Otu0110",9014,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides"
"Otu0111","Otu0111",9007,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Otu0112","Otu0112",8904,"Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"Otu0113","Otu0113",8820,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0114","Otu0114",8723,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0115","Otu0115",8598,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0116","Otu0116",8324,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0117","Otu0117",8215,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu0118","Otu0118",8160,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0119","Otu0119",8109,"Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"Otu0120","Otu0120",7964,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Odoribacter"
"Otu0121","Otu0121",7891,"Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified"
"Otu0122","Otu0122",7885,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu0123","Otu0123",7834,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Otu0124","Otu0124",7513,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Odoribacter"
"Otu0125","Otu0125",7480,"Actinobacteria","Actinobacteria","Coriobacteriales","Coriobacteriaceae","Atopobium"
"Otu0126","Otu0126",7301,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu0127","Otu0127",7301,"Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Leifsonia"
"Otu0128","Otu0128",7227,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0129","Otu0129",7100,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"Otu0130","Otu0130",7055,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0131","Otu0131",6969,"Actinobacteria","Actinobacteria","Coriobacteriales","Coriobacteriaceae","Eggerthella"
"Otu0132","Otu0132",6819,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Barnesiella"
"Otu0133","Otu0133",6817,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Negativicoccus"
"Otu0134","Otu0134",6646,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVb"
"Otu0135","Otu0135",6635,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0136","Otu0136",6494,"Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Bacillales_unclassified"
"Otu0137","Otu0137",6476,"Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"Otu0138","Otu0138",6297,"Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Chryseobacterium"
"Otu0139","Otu0139",6188,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"Otu0140","Otu0140",6182,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0141","Otu0141",6169,"Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Anaerococcus"
"Otu0142","Otu0142",6114,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_incertae_sedis"
"Otu0143","Otu0143",6114,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0144","Otu0144",6113,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Otu0145","Otu0145",6000,"Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurellaceae_unclassified"
"Otu0146","Otu0146",5890,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"Otu0147","Otu0147",5828,"Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Clostridium_XI"
"Otu0148","Otu0148",5796,"Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Acidaminococcaceae_unclassified"
"Otu0149","Otu0149",5763,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa"
"Otu0150","Otu0150",5696,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"Otu0151","Otu0151",5508,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Odoribacter"
"Otu0152","Otu0152",5503,"Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Succiniclasticum"
"Otu0153","Otu0153",5308,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella"
"Otu0154","Otu0154",4983,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu0155","Otu0155",4903,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0156","Otu0156",4854,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Otu0157","Otu0157",4851,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium_IV"
"Otu0158","Otu0158",4803,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0159","Otu0159",4755,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0160","Otu0160",4754,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Otu0161","Otu0161",4629,"Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alishewanella"
"Otu0162","Otu0162",4614,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"Otu0163","Otu0163",4595,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0164","Otu0164",4537,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0165","Otu0165",4526,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea"
"Otu0166","Otu0166",4477,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0167","Otu0167",4434,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0168","Otu0168",4431,"Actinobacteria","Actinobacteria","Actinomycetales","Nocardiaceae","Rhodococcus"
"Otu0169","Otu0169",4425,"Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Bacillales_unclassified"
"Otu0170","Otu0170",4407,"Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"Otu0171","Otu0171",4390,"Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenaceae_unclassified"
"Otu0172","Otu0172",4383,"Synergistetes","Synergistia","Synergistales","Synergistaceae","Pyramidobacter"
"Otu0173","Otu0173",4350,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Butyricimonas"
"Otu0174","Otu0174",4349,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0175","Otu0175",4308,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0176","Otu0176",4299,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonellaceae_unclassified"
"Otu0177","Otu0177",4291,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0178","Otu0178",4258,"Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Anaerococcus"
"Otu0179","Otu0179",4253,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0180","Otu0180",4231,"Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu0181","Otu0181",4197,"Synergistetes","Synergistia","Synergistales","Synergistaceae","Jonquetella"
"Otu0182","Otu0182",4171,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"Otu0183","Otu0183",4118,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes"
"Otu0184","Otu0184",3943,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0185","Otu0185",3904,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0186","Otu0186",3803,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0187","Otu0187",3773,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0188","Otu0188",3735,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0189","Otu0189",3728,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"Otu0190","Otu0190",3727,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0191","Otu0191",3713,"Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Rothia"
"Otu0192","Otu0192",3684,"Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria"
"Otu0193","Otu0193",3677,"Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Gardnerella"
"Otu0194","Otu0194",3614,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0195","Otu0195",3607,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0196","Otu0196",3589,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0197","Otu0197",3515,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"Otu0198","Otu0198",3506,"Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"Otu0199","Otu0199",3415,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Otu0200","Otu0200",3325,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum"
"Otu0201","Otu0201",3287,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0202","Otu0202",3257,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Barnesiella"
"Otu0203","Otu0203",3218,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0204","Otu0204",3200,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu0205","Otu0205",3181,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0206","Otu0206",3093,"Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella"
"Otu0207","Otu0207",3077,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Otu0208","Otu0208",3072,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Dialister"
"Otu0209","Otu0209",3038,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0210","Otu0210",3033,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0211","Otu0211",3002,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"Otu0212","Otu0212",3000,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa"
"Otu0213","Otu0213",2993,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa"
"Otu0214","Otu0214",2972,"Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Otu0215","Otu0215",2939,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0216","Otu0216",2925,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0217","Otu0217",2916,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0218","Otu0218",2911,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0219","Otu0219",2908,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Dialister"
"Otu0220","Otu0220",2900,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0221","Otu0221",2889,"Firmicutes","Clostridia","Clostridia_unclassified","Clostridia_unclassified","Clostridia_unclassified"
"Otu0222","Otu0222",2863,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0223","Otu0223",2828,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"Otu0224","Otu0224",2807,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0225","Otu0225",2801,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megamonas"
"Otu0226","Otu0226",2785,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu0227","Otu0227",2768,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"Otu0228","Otu0228",2703,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0229","Otu0229",2667,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Otu0230","Otu0230",2599,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0231","Otu0231",2576,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0232","Otu0232",2552,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0233","Otu0233",2539,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Moryella"
"Otu0234","Otu0234",2518,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0235","Otu0235",2503,"Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"Otu0236","Otu0236",2498,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella"
"Otu0237","Otu0237",2459,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified"
"Otu0238","Otu0238",2456,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium_IV"
"Otu0239","Otu0239",2439,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Dialister"
"Otu0240","Otu0240",2411,"Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Otu0241","Otu0241",2389,"Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"Otu0242","Otu0242",2374,"Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus"
"Otu0243","Otu0243",2371,"Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacteriaceae_unclassified"
"Otu0244","Otu0244",2344,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0245","Otu0245",2333,"Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Otu0246","Otu0246",2298,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0247","Otu0247",2282,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0248","Otu0248",2257,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu0249","Otu0249",2253,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0250","Otu0250",2250,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Otu0251","Otu0251",2224,"Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"Otu0252","Otu0252",2217,"Actinobacteria","Actinobacteria","Coriobacteriales","Coriobacteriaceae","Coriobacteriaceae_unclassified"
"Otu0253","Otu0253",2174,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonadaceae_unclassified"
"Otu0254","Otu0254",2151,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus"
"Otu0255","Otu0255",2129,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0256","Otu0256",2099,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu0257","Otu0257",2081,"Firmicutes","Clostridia","Clostridiales","Peptococcaceae_1","Peptococcus"
"Otu0258","Otu0258",2078,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0259","Otu0259",2067,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0260","Otu0260",2065,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu0261","Otu0261",2058,"Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Parvimonas"
"Otu0262","Otu0262",2053,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0263","Otu0263",2020,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0264","Otu0264",2011,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes"
"Otu0265","Otu0265",1993,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides"
"Otu0266","Otu0266",1941,"OD1","OD1_class_incertae_sedis","OD1_order_incertae_sedis","OD1_family_incertae_sedis","OD1_genus_incertae_sedis"
"Otu0267","Otu0267",1924,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter"
"Otu0268","Otu0268",1912,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia"
"Otu0269","Otu0269",1903,"Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Peptoniphilus"
"Otu0270","Otu0270",1901,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0271","Otu0271",1898,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0272","Otu0272",1886,"Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter"
"Otu0273","Otu0273",1872,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0274","Otu0274",1869,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0275","Otu0275",1848,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0276","Otu0276",1824,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Otu0277","Otu0277",1819,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0278","Otu0278",1797,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonellaceae_unclassified"
"Otu0279","Otu0279",1774,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0280","Otu0280",1764,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0281","Otu0281",1758,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0282","Otu0282",1748,"Actinobacteria","Actinobacteria","Actinomycetales","Dermabacteraceae","Brachybacterium"
"Otu0283","Otu0283",1746,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0284","Otu0284",1743,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0285","Otu0285",1739,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0286","Otu0286",1725,"Actinobacteria","Actinobacteria","Coriobacteriales","Coriobacteriaceae","Atopobium"
"Otu0287","Otu0287",1691,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea"
"Otu0288","Otu0288",1683,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0289","Otu0289",1682,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0290","Otu0290",1668,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0291","Otu0291",1667,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu0292","Otu0292",1664,"Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Clostridiales_Incertae_Sedis_XI_unclassified"
"Otu0293","Otu0293",1663,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0294","Otu0294",1637,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus"
"Otu0295","Otu0295",1636,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0296","Otu0296",1615,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Barnesiella"
"Otu0297","Otu0297",1614,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0298","Otu0298",1608,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0299","Otu0299",1588,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter"
"Otu0300","Otu0300",1579,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus"
"Otu0301","Otu0301",1574,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0302","Otu0302",1573,"Firmicutes","Clostridia","Clostridia_unclassified","Clostridia_unclassified","Clostridia_unclassified"
"Otu0303","Otu0303",1550,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0304","Otu0304",1517,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter"
"Otu0305","Otu0305",1512,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0306","Otu0306",1508,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0307","Otu0307",1496,"Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacteriaceae_unclassified"
"Otu0308","Otu0308",1490,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0309","Otu0309",1487,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0310","Otu0310",1479,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0311","Otu0311",1465,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"Otu0312","Otu0312",1459,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa"
"Otu0313","Otu0313",1444,"Fusobacteria","Fusobacteria","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"Otu0314","Otu0314",1441,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter"
"Otu0315","Otu0315",1439,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Pseudoflavonifractor"
"Otu0316","Otu0316",1436,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"Otu0317","Otu0317",1433,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0318","Otu0318",1432,"Actinobacteria","Actinobacteria","Coriobacteriales","Coriobacteriaceae","Atopobium"
"Otu0319","Otu0319",1421,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0320","Otu0320",1409,"Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Elizabethkingia"
"Otu0321","Otu0321",1409,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0322","Otu0322",1397,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0323","Otu0323",1393,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified"
"Otu0324","Otu0324",1383,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Otu0325","Otu0325",1373,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0326","Otu0326",1364,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0327","Otu0327",1360,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
